# Hysteresis Cycle Data
# Opinion A: electoral college protects democracy
# Opinion B: electoral college undermines democracy
# N_regular: 50
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-30,-0.375000,-0.884800,0.000000,-1.000000,0.000000
-29,-0.367089,-0.907200,0.000000,-1.000000,0.000000
-28,-0.358974,-1.000000,0.000000,-1.000000,0.000000
-27,-0.350649,-1.000000,0.000000,-1.000000,0.000000
-26,-0.342105,-1.000000,0.000000,-1.000000,0.000000
-25,-0.333333,-1.000000,0.000000,-1.000000,0.000000
-24,-0.324324,-1.000000,0.000000,-1.000000,0.000000
-23,-0.315068,-1.000000,0.000000,-1.000000,0.000000
-22,-0.305556,-1.000000,0.000000,-1.000000,0.000000
-21,-0.295775,-1.000000,0.000000,-1.000000,0.000000
-20,-0.285714,-1.000000,0.000000,-1.000000,0.000000
-19,-0.275362,-1.000000,0.000000,-1.000000,0.000000
-18,-0.264706,-1.000000,0.000000,-1.000000,0.000000
-17,-0.253731,-1.000000,0.000000,-1.000000,0.000000
-16,-0.242424,-1.000000,0.000000,-1.000000,0.000000
-15,-0.230769,-1.000000,0.000000,-1.000000,0.000000
-14,-0.218750,-1.000000,0.000000,-1.000000,0.000000
-13,-0.206349,-1.000000,0.000000,-1.000000,0.000000
-12,-0.193548,-1.000000,0.000000,-1.000000,0.000000
-11,-0.180328,-1.000000,0.000000,-1.000000,0.000000
-10,-0.166667,-1.000000,0.000000,-1.000000,0.000000
-9,-0.152542,-1.000000,0.000000,-1.000000,0.000000
-8,-0.137931,-1.000000,0.000000,-1.000000,0.000000
-7,-0.122807,-1.000000,0.000000,-1.000000,0.000000
-6,-0.107143,-1.000000,0.000000,-1.000000,0.000000
-5,-0.090909,-1.000000,0.000000,-1.000000,0.000000
-4,-0.074074,-1.000000,0.000000,-1.000000,0.000000
-3,-0.056604,-1.000000,0.000000,-1.000000,0.000000
-2,-0.038462,-1.000000,0.000000,-1.000000,0.000000
-1,-0.019608,-1.000000,0.000000,-1.000000,0.000000
0,0.000000,-1.000000,0.000000,-1.000000,0.000000
1,0.019608,-0.987200,0.000000,-1.000000,0.000000
2,0.038462,-0.960000,0.000000,-0.996800,0.000000
3,0.056604,-0.979200,0.000000,-0.985600,0.000000
4,0.074074,-1.000000,0.000000,-1.000000,0.000000
5,0.090909,-1.000000,0.000000,-1.000000,0.000000
6,0.107143,-1.000000,0.000000,-1.000000,0.000000
7,0.122807,-1.000000,0.000000,-1.000000,0.000000
8,0.137931,-1.000000,0.000000,-1.000000,0.000000
9,0.152542,-1.000000,0.000000,-0.960000,0.000000
10,0.166667,-1.000000,0.000000,-1.000000,0.000000
11,0.180328,-1.000000,0.000000,-1.000000,0.000000
12,0.193548,-1.000000,0.000000,-1.000000,0.000000
13,0.206349,-1.000000,0.000000,-1.000000,0.000000
14,0.218750,-1.000000,0.000000,-1.000000,0.000000
15,0.230769,-1.000000,0.000000,-1.000000,0.000000
16,0.242424,-1.000000,0.000000,-1.000000,0.000000
17,0.253731,-0.982400,0.000000,-1.000000,0.000000
18,0.264706,-0.960000,0.000000,-1.000000,0.000000
19,0.275362,-1.000000,0.000000,-1.000000,0.000000
20,0.285714,-1.000000,0.000000,-0.972800,0.000000
21,0.295775,-1.000000,0.000000,-0.977600,0.000000
22,0.305556,-1.000000,0.000000,-0.998400,0.000000
23,0.315068,-1.000000,0.000000,-0.960000,0.000000
24,0.324324,-0.976000,0.000000,-0.960000,0.000000
25,0.333333,-0.985600,0.000000,-0.940800,0.000000
26,0.342105,-1.000000,0.000000,-0.896000,0.000000
27,0.350649,-0.960000,0.000000,-0.945600,0.000000
28,0.358974,-1.000000,0.000000,-1.000000,0.000000
29,0.367089,-0.993600,0.000000,-0.944000,0.000000
30,0.375000,-1.000000,0.000000,-0.972800,0.000000
