# Hysteresis Cycle Data
# Opinion A: privacy over national security
# Opinion B: national security over privacy
# N_regular: 50
# Temperature: 0.2
# Cycles: 1
stubborn_count,field,magnetization_forward,error_forward,magnetization_backward,error_backward
-35,-0.411765,-0.323200,0.000000,-0.323200,0.000000
-34,-0.404762,-0.520000,0.000000,-0.348800,0.000000
-33,-0.397590,-0.715200,0.000000,-0.092800,0.000000
-32,-0.390244,-0.804800,0.000000,0.248000,0.000000
-31,-0.382716,-0.840000,0.000000,0.675200,0.000000
-30,-0.375000,-0.803200,0.000000,0.678400,0.000000
-29,-0.367089,-0.840000,0.000000,0.769600,0.000000
-28,-0.358974,-0.748800,0.000000,0.963200,0.000000
-27,-0.350649,-0.697600,0.000000,0.844800,0.000000
-26,-0.342105,-0.827200,0.000000,0.726400,0.000000
-25,-0.333333,-0.859200,0.000000,0.852800,0.000000
-24,-0.324324,-0.726400,0.000000,0.905600,0.000000
-23,-0.315068,-0.753600,0.000000,0.929600,0.000000
-22,-0.305556,-0.852800,0.000000,0.937600,0.000000
-21,-0.295775,-0.785600,0.000000,0.817600,0.000000
-20,-0.285714,-0.872000,0.000000,0.827200,0.000000
-19,-0.275362,-0.784000,0.000000,0.993600,0.000000
-18,-0.264706,-0.638400,0.000000,0.992000,0.000000
-17,-0.253731,-0.744000,0.000000,1.000000,0.000000
-16,-0.242424,-0.865600,0.000000,1.000000,0.000000
-15,-0.230769,-0.755200,0.000000,1.000000,0.000000
-14,-0.218750,-0.774400,0.000000,1.000000,0.000000
-13,-0.206349,-0.732800,0.000000,1.000000,0.000000
-12,-0.193548,-0.707200,0.000000,1.000000,0.000000
-11,-0.180328,-0.923200,0.000000,0.996800,0.000000
-10,-0.166667,-0.857600,0.000000,1.000000,0.000000
-9,-0.152542,-0.867200,0.000000,1.000000,0.000000
-8,-0.137931,-0.795200,0.000000,1.000000,0.000000
-7,-0.122807,-0.900800,0.000000,1.000000,0.000000
-6,-0.107143,-0.910400,0.000000,1.000000,0.000000
-5,-0.090909,-0.854400,0.000000,1.000000,0.000000
-4,-0.074074,-0.964800,0.000000,1.000000,0.000000
-3,-0.056604,-0.920000,0.000000,1.000000,0.000000
-2,-0.038462,-0.827200,0.000000,1.000000,0.000000
-1,-0.019608,-0.889600,0.000000,1.000000,0.000000
0,0.000000,-0.840000,0.000000,1.000000,0.000000
1,0.019608,-0.912000,0.000000,1.000000,0.000000
2,0.038462,-0.916800,0.000000,0.964800,0.000000
3,0.056604,-0.846400,0.000000,1.000000,0.000000
4,0.074074,-0.673600,0.000000,1.000000,0.000000
5,0.090909,-0.067200,0.000000,1.000000,0.000000
6,0.107143,0.612800,0.000000,1.000000,0.000000
7,0.122807,0.948800,0.000000,1.000000,0.000000
8,0.137931,0.960000,0.000000,1.000000,0.000000
9,0.152542,1.000000,0.000000,1.000000,0.000000
10,0.166667,1.000000,0.000000,1.000000,0.000000
11,0.180328,1.000000,0.000000,1.000000,0.000000
12,0.193548,1.000000,0.000000,1.000000,0.000000
13,0.206349,1.000000,0.000000,1.000000,0.000000
14,0.218750,1.000000,0.000000,1.000000,0.000000
15,0.230769,1.000000,0.000000,1.000000,0.000000
16,0.242424,1.000000,0.000000,1.000000,0.000000
17,0.253731,1.000000,0.000000,1.000000,0.000000
18,0.264706,1.000000,0.000000,1.000000,0.000000
19,0.275362,1.000000,0.000000,1.000000,0.000000
20,0.285714,1.000000,0.000000,1.000000,0.000000
21,0.295775,1.000000,0.000000,1.000000,0.000000
22,0.305556,1.000000,0.000000,1.000000,0.000000
23,0.315068,1.000000,0.000000,1.000000,0.000000
24,0.324324,1.000000,0.000000,0.960000,0.000000
25,0.333333,1.000000,0.000000,1.000000,0.000000
26,0.342105,1.000000,0.000000,1.000000,0.000000
27,0.350649,1.000000,0.000000,1.000000,0.000000
28,0.358974,1.000000,0.000000,1.000000,0.000000
29,0.367089,1.000000,0.000000,1.000000,0.000000
30,0.375000,1.000000,0.000000,1.000000,0.000000
31,0.382716,1.000000,0.000000,0.960000,0.000000
32,0.390244,1.000000,0.000000,1.000000,0.000000
33,0.397590,1.000000,0.000000,1.000000,0.000000
34,0.404762,1.000000,0.000000,1.000000,0.000000
35,0.411765,1.000000,0.000000,1.000000,0.000000
